PaperID,Essential,Worthwhile,Unimportant,Unwise,ZeroRating,NotShown,PosRatings,NegRatings,TotalRatings
248,2,5,6,0,0,141,7,6,13
100,7,5,0,0,1,141,12,0,12
39,1,6,4,0,0,143,7,4,11
104,2,5,4,0,1,142,7,4,11
108,1,9,0,1,0,143,10,1,11
177,8,3,0,0,0,143,11,0,11
102,1,6,3,0,2,142,7,3,10
203,6,3,1,0,0,144,9,1,10
209,0,4,5,1,0,144,4,6,10
275,3,5,2,0,0,144,8,2,10
322,1,6,2,1,0,144,7,3,10
323,4,5,1,0,0,144,9,1,10
327,2,5,2,1,0,144,7,3,10
350,1,4,5,0,0,144,5,5,10
392,2,5,3,0,0,144,7,3,10
416,1,8,1,0,0,144,9,1,10
10,4,4,1,0,0,145,8,1,9
61,2,6,1,0,0,145,8,1,9
63,5,2,2,0,0,145,7,2,9
105,4,2,2,1,1,144,6,3,9
172,2,4,3,0,1,144,6,3,9
201,4,4,1,0,0,145,8,1,9
236,3,4,2,0,0,145,7,2,9
311,0,4,4,1,0,145,4,5,9
315,3,3,2,1,0,145,6,3,9
413,2,3,4,0,0,145,5,4,9
18,2,6,0,0,1,145,8,0,8
21,2,2,4,0,0,146,4,4,8
24,5,1,2,0,0,146,6,2,8
30,1,5,2,0,0,146,6,2,8
32,2,5,0,1,0,146,7,1,8
80,4,3,1,0,1,145,7,1,8
82,2,5,1,0,0,146,7,1,8
87,2,4,1,1,0,146,6,2,8
89,4,2,1,1,0,146,6,2,8
91,2,4,2,0,0,146,6,2,8
116,1,7,0,0,0,146,8,0,8
125,3,4,1,0,0,146,7,1,8
138,0,2,6,0,0,146,2,6,8
142,4,3,1,0,0,146,7,1,8
161,6,1,1,0,0,146,7,1,8
191,1,6,1,0,0,146,7,1,8
196,0,4,4,0,0,146,4,4,8
228,0,6,2,0,0,146,6,2,8
235,2,4,2,0,1,145,6,2,8
240,2,2,2,2,0,146,4,4,8
307,0,1,7,0,0,146,1,7,8
319,1,6,0,1,0,146,7,1,8
334,0,3,5,0,0,146,3,5,8
340,2,5,1,0,0,146,7,1,8
344,5,1,2,0,0,146,6,2,8
347,1,3,3,1,0,146,4,4,8
370,4,3,1,0,0,146,7,1,8
387,1,6,1,0,0,146,7,1,8
389,1,3,4,0,0,146,4,4,8
394,1,3,4,0,0,146,4,4,8
418,2,1,4,1,0,146,3,5,8
422,0,5,2,1,1,145,5,3,8
424,3,4,1,0,0,146,7,1,8
11,3,4,0,0,1,146,7,0,7
13,2,4,1,0,0,147,6,1,7
23,4,2,0,1,1,146,6,1,7
27,3,4,0,0,0,147,7,0,7
28,1,4,2,0,0,147,5,2,7
41,2,4,0,1,0,147,6,1,7
64,1,4,2,0,0,147,5,2,7
78,1,4,2,0,0,147,5,2,7
117,2,4,1,0,1,146,6,1,7
121,3,4,0,0,1,146,7,0,7
130,1,6,0,0,0,147,7,0,7
135,1,3,2,1,0,147,4,3,7
141,1,4,2,0,1,146,5,2,7
147,3,4,0,0,0,147,7,0,7
151,1,6,0,0,0,147,7,0,7
163,1,2,3,1,0,147,3,4,7
169,2,1,4,0,0,147,3,4,7
184,3,3,1,0,0,147,6,1,7
194,3,4,0,0,0,147,7,0,7
198,4,1,2,0,0,147,5,2,7
200,4,0,3,0,1,146,4,3,7
208,0,4,3,0,0,147,4,3,7
211,3,2,2,0,1,146,5,2,7
224,2,3,1,1,0,147,5,2,7
230,0,6,1,0,0,147,6,1,7
238,4,3,0,0,0,147,7,0,7
241,1,3,3,0,0,147,4,3,7
242,1,2,1,3,0,147,3,4,7
271,2,3,2,0,1,146,5,2,7
278,1,3,3,0,0,147,4,3,7
285,0,5,2,0,0,147,5,2,7
289,5,1,1,0,0,147,6,1,7
309,3,3,0,1,0,147,6,1,7
320,1,5,1,0,3,144,6,1,7
341,1,4,2,0,0,147,5,2,7
351,1,2,3,1,1,146,3,4,7
371,1,2,4,0,0,147,3,4,7
375,2,2,2,1,0,147,4,3,7
383,2,4,1,0,0,147,6,1,7
415,1,4,2,0,0,147,5,2,7
421,0,3,2,2,2,145,3,4,7
428,2,4,0,1,0,147,6,1,7
431,3,3,1,0,0,147,6,1,7
433,0,4,3,0,0,147,4,3,7
9,2,3,1,0,0,148,5,1,6
12,1,5,0,0,0,148,6,0,6
17,1,2,3,0,0,148,3,3,6
25,2,4,0,0,1,147,6,0,6
31,3,2,0,1,1,147,5,1,6
35,1,2,3,0,1,147,3,3,6
36,1,3,2,0,0,148,4,2,6
37,1,2,2,1,1,147,3,3,6
43,0,5,1,0,1,147,5,1,6
45,3,3,0,0,0,148,6,0,6
53,1,5,0,0,0,148,6,0,6
57,1,3,2,0,0,148,4,2,6
72,0,2,4,0,3,145,2,4,6
81,1,4,1,0,0,148,5,1,6
83,1,3,2,0,0,148,4,2,6
85,0,4,2,0,2,146,4,2,6
86,2,3,1,0,1,147,5,1,6
88,2,2,2,0,0,148,4,2,6
106,2,2,1,1,0,148,4,2,6
122,2,4,0,0,0,148,6,0,6
128,1,5,0,0,0,148,6,0,6
129,0,3,2,1,1,147,3,3,6
140,2,2,2,0,0,148,4,2,6
143,1,3,1,1,1,147,4,2,6
144,1,3,2,0,0,148,4,2,6
167,0,2,4,0,1,147,2,4,6
216,1,3,2,0,2,146,4,2,6
219,1,1,3,1,0,148,2,4,6
244,4,0,2,0,0,148,4,2,6
246,2,4,0,0,0,148,6,0,6
257,1,1,3,1,0,148,2,4,6
264,0,5,1,0,0,148,5,1,6
265,1,4,1,0,1,147,5,1,6
270,0,5,1,0,2,146,5,1,6
273,3,2,1,0,0,148,5,1,6
279,0,4,1,1,0,148,4,2,6
282,2,4,0,0,0,148,6,0,6
290,2,2,2,0,1,147,4,2,6
294,0,2,4,0,0,148,2,4,6
305,2,3,1,0,0,148,5,1,6
306,1,5,0,0,1,147,6,0,6
314,1,2,3,0,0,148,3,3,6
333,2,3,0,1,0,148,5,1,6
335,2,4,0,0,0,148,6,0,6
342,1,3,2,0,2,146,4,2,6
353,2,2,2,0,0,148,4,2,6
356,1,4,1,0,0,148,5,1,6
358,0,2,4,0,1,147,2,4,6
360,1,3,1,1,0,148,4,2,6
364,4,2,0,0,0,148,6,0,6
397,1,3,1,1,0,148,4,2,6
398,0,4,1,1,1,147,4,2,6
399,2,3,1,0,1,147,5,1,6
404,1,2,2,1,1,147,3,3,6
408,1,0,5,0,0,148,1,5,6
411,0,3,3,0,0,148,3,3,6
423,1,4,1,0,1,147,5,1,6
429,3,2,1,0,1,147,5,1,6
430,1,3,2,0,1,147,4,2,6
435,3,1,1,1,0,148,4,2,6
1,1,3,1,0,0,149,4,1,5
4,1,3,1,0,0,149,4,1,5
5,1,0,3,1,0,149,1,4,5
14,2,3,0,0,0,149,5,0,5
16,0,4,1,0,0,149,4,1,5
29,1,1,3,0,0,149,2,3,5
33,0,4,0,1,0,149,4,1,5
44,0,3,2,0,0,149,3,2,5
50,2,2,1,0,0,149,4,1,5
59,0,1,3,1,1,148,1,4,5
60,1,2,2,0,1,148,3,2,5
62,0,3,2,0,1,148,3,2,5
65,1,3,1,0,0,149,4,1,5
66,2,1,2,0,0,149,3,2,5
70,2,3,0,0,0,149,5,0,5
77,3,2,0,0,2,147,5,0,5
79,0,3,2,0,0,149,3,2,5
103,1,3,0,1,0,149,4,1,5
111,0,4,1,0,0,149,4,1,5
114,1,4,0,0,0,149,5,0,5
115,2,1,2,0,0,149,3,2,5
137,2,1,2,0,0,149,3,2,5
145,1,3,1,0,2,147,4,1,5
150,2,3,0,0,0,149,5,0,5
156,1,4,0,0,0,149,5,0,5
164,0,2,3,0,2,147,2,3,5
165,1,2,2,0,1,148,3,2,5
168,0,4,1,0,0,149,4,1,5
174,0,3,2,0,1,148,3,2,5
178,2,2,0,1,0,149,4,1,5
179,0,2,3,0,0,149,2,3,5
180,1,1,2,1,0,149,2,3,5
187,2,3,0,0,1,148,5,0,5
189,2,3,0,0,0,149,5,0,5
193,2,1,2,0,0,149,3,2,5
206,2,2,1,0,0,149,4,1,5
207,0,4,1,0,0,149,4,1,5
213,0,2,3,0,0,149,2,3,5
214,2,1,1,1,1,148,3,2,5
215,2,3,0,0,0,149,5,0,5
221,2,2,0,1,0,149,4,1,5
222,0,2,2,1,1,148,2,3,5
226,1,2,1,1,0,149,3,2,5
232,1,1,2,1,1,148,2,3,5
234,1,1,2,1,2,147,2,3,5
243,0,4,1,0,0,149,4,1,5
255,1,3,1,0,0,149,4,1,5
258,2,2,1,0,1,148,4,1,5
260,1,2,2,0,1,148,3,2,5
276,0,2,3,0,0,149,2,3,5
286,2,1,2,0,0,149,3,2,5
287,0,1,2,2,1,148,1,4,5
297,4,1,0,0,0,149,5,0,5
298,0,2,2,1,0,149,2,3,5
299,4,0,1,0,0,149,4,1,5
300,0,3,2,0,1,148,3,2,5
302,2,3,0,0,0,149,5,0,5
304,2,2,1,0,0,149,4,1,5
310,0,4,1,0,0,149,4,1,5
317,1,1,2,1,1,148,2,3,5
336,1,4,0,0,0,149,5,0,5
338,2,1,2,0,1,148,3,2,5
343,2,0,3,0,0,149,2,3,5
357,1,3,1,0,0,149,4,1,5
359,2,2,1,0,0,149,4,1,5
361,1,2,1,1,0,149,3,2,5
366,1,2,2,0,1,148,3,2,5
367,0,3,1,1,0,149,3,2,5
368,0,2,2,1,0,149,2,3,5
372,2,2,1,0,1,148,4,1,5
382,3,0,2,0,1,148,3,2,5
384,2,2,1,0,1,148,4,1,5
390,2,2,1,0,1,148,4,1,5
391,1,4,0,0,0,149,5,0,5
393,3,1,1,0,0,149,4,1,5
400,0,2,2,1,0,149,2,3,5
401,1,3,1,0,0,149,4,1,5
403,2,2,1,0,0,149,4,1,5
405,1,3,1,0,0,149,4,1,5
407,3,2,0,0,0,149,5,0,5
420,2,2,1,0,0,149,4,1,5
427,0,3,1,1,0,149,3,2,5
2,2,1,1,0,1,149,3,1,4
6,2,2,0,0,0,150,4,0,4
7,2,2,0,0,0,150,4,0,4
8,2,2,0,0,0,150,4,0,4
15,0,3,1,0,1,149,3,1,4
20,2,0,1,1,0,150,2,2,4
22,1,2,1,0,0,150,3,1,4
38,2,1,1,0,0,150,3,1,4
46,2,1,1,0,0,150,3,1,4
49,2,1,1,0,1,149,3,1,4
51,1,1,2,0,1,149,2,2,4
52,0,2,2,0,0,150,2,2,4
56,0,2,0,2,0,150,2,2,4
58,1,2,1,0,0,150,3,1,4
68,2,1,0,1,1,149,3,1,4
71,0,2,0,2,0,150,2,2,4
73,0,4,0,0,0,150,4,0,4
75,2,2,0,0,2,148,4,0,4
84,1,3,0,0,0,150,4,0,4
90,3,0,1,0,0,150,3,1,4
98,2,2,0,0,0,150,4,0,4
113,1,2,1,0,0,150,3,1,4
118,1,0,2,1,0,150,1,3,4
120,1,2,1,0,0,150,3,1,4
124,2,2,0,0,0,150,4,0,4
126,4,0,0,0,0,150,4,0,4
127,0,1,2,1,0,150,1,3,4
131,0,3,0,1,0,150,3,1,4
134,1,1,2,0,1,149,2,2,4
146,0,4,0,0,0,150,4,0,4
154,0,4,0,0,0,150,4,0,4
155,0,3,1,0,0,150,3,1,4
162,0,2,0,2,0,150,2,2,4
171,1,1,2,0,0,150,2,2,4
182,1,0,3,0,0,150,1,3,4
183,2,2,0,0,0,150,4,0,4
190,1,3,0,0,1,149,4,0,4
197,0,2,2,0,1,149,2,2,4
199,0,3,1,0,0,150,3,1,4
217,1,3,0,0,2,148,4,0,4
220,0,2,1,1,0,150,2,2,4
223,2,1,1,0,0,150,3,1,4
227,1,2,1,0,0,150,3,1,4
237,0,3,1,0,3,147,3,1,4
249,2,2,0,0,1,149,4,0,4
251,1,3,0,0,0,150,4,0,4
256,2,1,1,0,0,150,3,1,4
259,1,3,0,0,1,149,4,0,4
262,2,1,1,0,1,149,3,1,4
266,0,2,2,0,0,150,2,2,4
272,2,1,1,0,0,150,3,1,4
274,0,2,2,0,0,150,2,2,4
277,0,2,2,0,1,149,2,2,4
283,0,2,2,0,0,150,2,2,4
288,1,1,1,1,0,150,2,2,4
292,2,2,0,0,0,150,4,0,4
295,0,2,1,1,0,150,2,2,4
296,1,1,1,1,0,150,2,2,4
312,0,4,0,0,0,150,4,0,4
316,1,1,2,0,0,150,2,2,4
324,1,0,3,0,0,150,1,3,4
325,1,1,2,0,0,150,2,2,4
328,2,2,0,0,0,150,4,0,4
337,0,3,1,0,1,149,3,1,4
348,0,2,2,0,0,150,2,2,4
349,0,2,2,0,0,150,2,2,4
363,1,3,0,0,0,150,4,0,4
365,1,1,2,0,1,149,2,2,4
373,0,3,1,0,0,150,3,1,4
374,1,0,3,0,0,150,1,3,4
377,1,1,1,1,0,150,2,2,4
386,0,1,2,1,0,150,1,3,4
396,1,0,3,0,0,150,1,3,4
402,1,3,0,0,0,150,4,0,4
406,0,3,1,0,2,148,3,1,4
412,1,2,1,0,0,150,3,1,4
426,1,1,2,0,1,149,2,2,4
432,2,0,2,0,0,150,2,2,4
434,0,3,1,0,0,150,3,1,4
3,0,3,0,0,1,150,3,0,3
19,0,3,0,0,1,150,3,0,3
34,2,1,0,0,0,151,3,0,3
40,1,1,0,1,0,151,2,1,3
47,2,0,1,0,1,150,2,1,3
48,0,2,1,0,1,150,2,1,3
69,0,2,1,0,0,151,2,1,3
76,1,1,0,1,0,151,2,1,3
93,0,1,2,0,2,149,1,2,3
94,0,3,0,0,0,151,3,0,3
95,1,0,2,0,1,150,1,2,3
97,0,1,2,0,0,151,1,2,3
107,1,2,0,0,0,151,3,0,3
109,0,2,1,0,1,150,2,1,3
110,1,1,1,0,2,149,2,1,3
119,1,2,0,0,1,150,3,0,3
132,0,0,2,1,1,150,0,3,3
148,0,3,0,0,0,151,3,0,3
152,0,2,1,0,0,151,2,1,3
153,1,1,1,0,0,151,2,1,3
159,0,3,0,0,0,151,3,0,3
160,0,1,2,0,0,151,1,2,3
166,0,2,1,0,0,151,2,1,3
173,0,1,2,0,1,150,1,2,3
175,0,0,2,1,0,151,0,3,3
176,0,1,2,0,0,151,1,2,3
185,1,1,1,0,0,151,2,1,3
202,1,0,1,1,0,151,1,2,3
205,1,2,0,0,0,151,3,0,3
218,2,1,0,0,1,150,3,0,3
225,0,2,1,0,0,151,2,1,3
231,1,1,1,0,0,151,2,1,3
245,1,0,2,0,0,151,1,2,3
247,0,2,0,1,2,149,2,1,3
253,1,1,0,1,0,151,2,1,3
254,0,1,2,0,0,151,1,2,3
308,0,3,0,0,0,151,3,0,3
318,0,2,1,0,0,151,2,1,3
321,0,3,0,0,0,151,3,0,3
330,1,1,1,0,0,151,2,1,3
332,1,0,2,0,0,151,1,2,3
339,1,2,0,0,0,151,3,0,3
346,1,1,1,0,0,151,2,1,3
354,1,2,0,0,0,151,3,0,3
355,0,1,2,0,2,149,1,2,3
380,0,0,3,0,2,149,0,3,3
381,0,2,0,1,0,151,2,1,3
388,0,2,1,0,1,150,2,1,3
409,2,1,0,0,0,151,3,0,3
414,0,1,2,0,2,149,1,2,3
419,0,2,1,0,0,151,2,1,3
425,0,1,1,1,0,151,1,2,3
42,1,0,1,0,0,152,1,1,2
54,1,1,0,0,2,150,2,0,2
55,0,1,1,0,0,152,1,1,2
67,1,0,1,0,0,152,1,1,2
74,1,1,0,0,0,152,2,0,2
112,0,0,2,0,0,152,0,2,2
123,1,1,0,0,0,152,2,0,2
133,0,2,0,0,0,152,2,0,2
136,0,0,2,0,0,152,0,2,2
157,1,1,0,0,0,152,2,0,2
158,0,1,1,0,0,152,1,1,2
181,2,0,0,0,1,151,2,0,2
186,0,0,2,0,0,152,0,2,2
188,1,1,0,0,1,151,2,0,2
195,0,0,1,1,0,152,0,2,2
204,0,1,1,0,1,151,1,1,2
210,1,0,1,0,1,151,1,1,2
212,1,1,0,0,0,152,2,0,2
229,0,2,0,0,0,152,2,0,2
233,0,2,0,0,1,151,2,0,2
239,0,2,0,0,0,152,2,0,2
261,1,1,0,0,0,152,2,0,2
263,0,1,1,0,0,152,1,1,2
268,0,1,1,0,0,152,1,1,2
281,2,0,0,0,0,152,2,0,2
284,1,1,0,0,0,152,2,0,2
293,0,1,1,0,0,152,1,1,2
313,0,1,1,0,1,151,1,1,2
326,0,1,1,0,0,152,1,1,2
329,0,2,0,0,0,152,2,0,2
331,1,1,0,0,0,152,2,0,2
345,2,0,0,0,0,152,2,0,2
352,0,1,1,0,0,152,1,1,2
362,1,1,0,0,1,151,2,0,2
378,0,0,2,0,0,152,0,2,2
379,1,1,0,0,1,151,2,0,2
385,0,1,1,0,0,152,1,1,2
417,0,1,1,0,0,152,1,1,2
26,0,1,0,0,1,152,1,0,1
96,0,0,1,0,0,153,0,1,1
99,0,0,1,0,0,153,0,1,1
101,0,0,1,0,1,152,0,1,1
139,0,1,0,0,1,152,1,0,1
149,0,1,0,0,0,153,1,0,1
170,0,0,1,0,0,153,0,1,1
192,0,0,1,0,0,153,0,1,1
269,0,0,1,0,0,153,0,1,1
280,0,1,0,0,0,153,1,0,1
291,1,0,0,0,0,153,1,0,1
301,0,0,1,0,0,153,0,1,1
369,0,1,0,0,0,153,1,0,1
395,0,1,0,0,2,151,1,0,1
410,0,0,1,0,0,153,0,1,1
92,0,0,0,0,0,154,0,0,0
250,0,0,0,0,1,153,0,0,0
252,0,0,0,0,1,153,0,0,0
267,0,0,0,0,0,154,0,0,0
303,0,0,0,0,0,154,0,0,0
376,0,0,0,0,0,154,0,0,0
